A,B,C,D,E,F
1,-2,26,531.32,7.55185,9.32575
9,22.16,18,379.51,40.7524,10.1607
28,79.16,32,645.18,-71.5188,-38.0272
32,91.41,0,37.19,-25.7024,-26.6156
2,1.33,35,702.43,-54.6641,-75.2385
10,25.18,24,493.05,-15.0231,-28.2543
24,67.14,28,569.52,41.7768,29.2524
26,73.09,21,436.35,82.1141,43.6608
31,88.34,17,360.01,-52.992,-84.8048
27,76.39,9,208.19,12.6381,16.7713
23,64,1,56.05,-7.71788,-26.9153
17,46.13,27,550.54,36.1354,51.6066
39,112.06,22,455.29,-44.4496,-28.8658
5,10.16,25,512.32,-3.07831,-3.94005
8,19.39,20,417.54,28.4702,70.466
25,70.37,16,341.16,55.2303,23.4439
8,19.26,17,360.52,21.298,14.913
6,13.02,2,74.97,-80.5346,-20.0795
28,79.12,0,37.43,-68.9365,-12.1554
23,64.15,9,208.32,24.4177,70.9139
8,19.09,26,531.34,14.0737,27.6212
17,45.97,27,550.11,66.348,9.32459
7,16.02,30,607.06,22.3359,30.7426
10,25.03,14,303.4,-5.7339,-14.9373
18,49.05,2,75.37,-23.4293,-81.7072
6,13.33,34,683.49,-25.3717,-9.23454
2,1.27,17,360.06,-19.5051,-12.1881
14,37.33,22,455.41,-20.8451,-9.72021
3,4.24,39,778.27,-57.8509,-68.944
14,36.98,15,322.26,-80.0927,-58.1907
18,49.04,7,170.09,34.7819,37.299
10,25.3,2,75.44,-5.96713,-0.62717
36,103.25,19,398.28,3.01884,2.62423
3,4.56,16,341.19,-9.06355,-29.6454
38,109.21,31,626.3,39.7587,61.2229
36,103,31,626.12,90.7698,31.2545
27,76.35,39,778.19,4.75528,1.54508
5,10.51,33,664.22,78.8106,31.8415
1,-1.55,37,740.34,31.4482,29.3259
28,79.5,22,455.56,-25.3395,-77.9866
4,7.52,3,94.24,-49.7261,-5.22642
2,1.07,29,588.5,-6.03768,-5.24847
39,112.34,20,417.01,14.1413,16.853
2,1.13,26,531.48,38.2061,52.5861
9,22.3,22,455.41,-6.97336,-0.61009
3,4.14,7,170.15,21.7514,10.1428
29,82.35,0,37.55,28.8666,33.2072
25,70.32,21,436.34,62.3028,76.9374
35,100.3,4,113.38,-44.6717,-61.4853
22,61.23,3,94.21,-5.86024,-17.0193
36,103.54,25,512.13,-57.5228,-28.0557
6,13.02,12,265.15,52.2805,20.0686
2,1.1,11,246.52,-21.131,-45.3154
31,88.02,4,113.12,37.8554,3.31192
37,106.37,38,759.37,-36.7089,-52.4257
8,19.42,38,759.42,-13.9764,-36.4096
6,13.36,11,246.55,22.7795,29.1564
6,13.16,20,417.46,30.1965,44.768
12,31.35,28,569.05,10.9593,22.4698
28,79.19,31,626.56,22.8214,48.9406
19,51.99,5,132.14,52.358,69.4812
3,4.43,37,740.52,-20.9909,-11.6354
22,61.4,33,664.32,-9.40457,-12.9443
26,73.33,29,588.03,3.4641,2
37,106.02,29,588.06,-31.4863,-17.4531
9,22.32,18,379.03,19.8599,26.355
24,67.45,24,493.18,-4.78152,-1.46186
35,100.15,15,322.17,5.49405,11.782
39,112.08,28,569.26,-45.0303,-23.943
16,43.24,10,227.42,45.3234,75.4307
21,58.06,29,588.49,48.1041,26.6645
30,85.36,35,702.03,-42.2619,-90.6307
18,49.12,0,37.43,-83.7087,-14.7601
38,109.03,28,569.23,72.9644,47.3836
